OTIQ,FIRST_ACTIVITY,LAST_ACTIVITY,Guardian Sep01,Same,No PCAP Played,,,
0.0.0.0,1725113740814,1725113998870,,FALSE,,,,
10.1.1.1,1725113700304,1725114050548,10.1.1.1,TRUE,,,,
10.1.1.255,0,0,10.1.1.255,TRUE,,,,
10.2.1.23,1725113715595,1725114043661,10.2.1.23,TRUE,,,,
10.2.1.255,0,0,10.2.1.255,TRUE,,,,
10.3.19.255,0,0,10.3.19.255,TRUE,,,,
10.3.19.31,1725113720624,1725114043659,10.3.19.31,TRUE,,,,
10.3.19.32,1725113720625,1725114043659,10.3.19.32,TRUE,,,,
10.32.110.50,1725113700207,1725114050458,10.32.110.50,TRUE,,,,
10.32.110.51,1725113700207,1725114050458,10.32.110.51,TRUE,,,,
10.32.110.52,1725113700207,1725114050458,10.32.110.52,TRUE,,,,
10.32.110.53,1725113700207,1725114050458,10.32.110.53,TRUE,,,,
10.32.110.54,1725113700207,1725114050458,10.32.110.54,TRUE,,,,
10.32.110.55,1725113700207,1725114050458,10.32.110.55,TRUE,,,,
10.32.110.56,1725113700206,1725114050458,10.32.110.56,TRUE,,,,
10.32.110.57,1725113700206,1725114050458,10.32.110.57,TRUE,,,,
10.32.110.58,1725113700206,1725114050457,10.32.110.58,TRUE,,,,
10.32.110.59,1725113700206,1725114050447,10.32.110.59,TRUE,,,,
10.32.110.60,1725113700206,1725114050447,10.32.110.60,TRUE,,,,
10.32.110.61,1725113700206,1725114050447,10.32.110.61,TRUE,,,,
10.32.110.62,1725113700206,1725114050447,10.32.110.62,TRUE,,,,
10.32.110.63,1725113700206,1725114050447,10.32.110.63,TRUE,,,,
10.32.110.64,1725113700206,1725114050447,10.32.110.64,TRUE,,,,
10.32.110.65,1725113700206,1725114050447,10.32.110.65,TRUE,,,,
10.32.110.66,1725113700206,1725114050447,10.32.110.66,TRUE,,,,
10.32.110.67,1725113700206,1725114050446,10.32.110.67,TRUE,,,,
10.32.110.68,1725113700206,1725114050446,10.32.110.68,TRUE,,,,
10.32.110.69,1725113700206,1725114050446,10.32.110.69,TRUE,,,,
10.34.12.41,1725113700218,1725114050461,10.34.12.41,TRUE,,,,
10.34.12.42,1725113700208,1725114050461,10.34.12.42,TRUE,,,,
10.34.12.43,1725113700208,1725114050461,10.34.12.43,TRUE,,,,
10.34.12.44,1725113700208,1725114050461,10.34.12.44,TRUE,,,,
10.34.12.45,1725113700208,1725114050461,10.34.12.45,TRUE,,,,
10.34.12.46,1725113700207,1725114050460,10.34.12.46,TRUE,,,,
10.34.12.47,1725113700207,1725114050460,10.34.12.47,TRUE,,,,
10.34.12.48,1725113700207,1725114050460,10.34.12.48,TRUE,,,,
10.34.12.49,1725113700207,1725114050460,10.34.12.49,TRUE,,,,
10.34.12.50,1725113700207,1725114050460,10.34.12.50,TRUE,,,,
10.34.12.51,1725113700207,1725114050460,10.34.12.51,TRUE,,,,
10.34.12.52,1725113700207,1725114050460,10.34.12.52,TRUE,,,,
10.34.12.53,1725113700207,1725114050460,10.34.12.53,TRUE,,,,
10.34.12.54,1725113700207,1725114050459,10.34.12.54,TRUE,,,,
10.34.12.55,1725113700207,1725114050459,10.34.12.55,TRUE,,,,
10.34.12.56,1725113700207,1725114050458,10.34.12.56,TRUE,,,,
10.34.12.57,1725113700207,1725114050458,10.34.12.57,TRUE,,,,
10.34.12.58,1725113700207,1725114050458,10.34.12.58,TRUE,,,,
10.34.12.59,1725113700207,1725114050458,10.34.12.59,TRUE,,,,
10.4.1.30,1725113698722,1725114050436,10.4.1.30,TRUE,,,,
10.4.1.31,1725113698721,1725114050436,10.4.1.31,TRUE,,,,
10.4.1.32,1725113698721,1725114050436,10.4.1.32,TRUE,,,,
10.4.1.33,1725113698721,1725114050436,10.4.1.33,TRUE,,,,
10.4.1.34,1725113698721,1725114050436,10.4.1.34,TRUE,,,,
10.4.1.35,1725113698720,1725114050436,10.4.1.35,TRUE,,,,
10.4.1.36,1725113698720,1725114050436,10.4.1.36,TRUE,,,,
10.41.132.165,1725113700207,1725114050458,10.41.132.165,TRUE,,,,
10.41.132.200,1725113700207,1725114050461,10.41.132.200,TRUE,,,,
10.5.1.253,1725113698719,1725114050436,10.5.1.253,TRUE,,,,
10.5.1.255,0,0,10.5.1.255,TRUE,,,,
10.80.68.106,1725113699035,1725114049432,10.80.68.106,TRUE,,,,
10.80.68.109,1725113699085,1725114049492,10.80.68.109,TRUE,,,,
10.80.68.115,1725113699044,1725114049432,10.80.68.115,TRUE,,,,
10.80.68.117,1725113699109,1725114049491,10.80.68.117,TRUE,,,,
10.80.68.123,1725113699064,1725114049520,10.80.68.123,TRUE,,,,
10.80.68.126,1725113699109,1725114049530,10.80.68.126,TRUE,,,,
10.80.68.13,1725113699035,1725114049530,10.80.68.13,TRUE,,,,
10.80.68.132,1725113699041,1725114049499,10.80.68.132,TRUE,,,,
10.80.68.135,1725113699041,1725114049509,10.80.68.135,TRUE,,,,
10.80.68.16,1725113699035,1725114049520,10.80.68.16,TRUE,,,,
10.80.68.40,1725113699045,1725114049521,10.80.68.40,TRUE,,,,
10.80.68.43,1725113698934,1725114049529,10.80.68.43,TRUE,,,,
10.80.68.49,1725113699035,1725114049530,10.80.68.49,TRUE,,,,
10.80.68.52,1725113699035,1725114049530,10.80.68.52,TRUE,,,,
10.80.68.60,1725113699063,1725114049491,10.80.68.60,TRUE,,,,
10.80.68.63,1725113699041,1725114049530,10.80.68.63,TRUE,,,,
10.80.68.87,1725113699136,1725114049530,10.80.68.87,TRUE,,,,
10.80.68.90,1725113699040,1725114049411,10.80.68.90,TRUE,,,,
172.16.0.1,1725113700220,1725114050511,172.16.0.1,TRUE,,,,
172.16.0.101,1725113715620,1725114043657,172.16.0.101,TRUE,,,,
172.16.0.140,1725113696667,1725114056609,172.16.0.140,TRUE,,,,
172.16.0.141,1725113696668,1725114056581,172.16.0.141,TRUE,,,,
172.16.0.142,1725113696668,1725114056626,172.16.0.142,TRUE,,,,
172.16.0.143,1725113696729,1725114056626,172.16.0.143,TRUE,,,,
172.16.0.144,1725113696728,1725114056608,172.16.0.144,TRUE,,,,
172.16.0.145,1725113696717,1725114056644,172.16.0.145,TRUE,,,,
172.16.0.146,1725113696729,1725114056609,172.16.0.146,TRUE,,,,
172.16.0.147,1725113696667,1725114056582,172.16.0.147,TRUE,,,,
172.16.0.148,1725113696729,1725114056609,172.16.0.148,TRUE,,,,
172.16.0.149,1725113696729,1725114056609,172.16.0.149,TRUE,,,,
172.16.0.150,1725113696709,1725114056582,172.16.0.150,TRUE,,,,
172.16.0.151,1725113696728,1725114056607,172.16.0.151,TRUE,,,,
172.16.0.152,1725113696667,1725114056606,172.16.0.152,TRUE,,,,
172.16.0.153,1725113696729,1725114056609,172.16.0.153,TRUE,,,,
172.16.0.154,1725113696728,1725114056607,172.16.0.154,TRUE,,,,
172.16.0.155,1725113696717,1725114056644,172.16.0.155,TRUE,,,,
172.16.0.156,1725113696729,1725114056609,172.16.0.156,TRUE,,,,
172.16.0.157,1725113696667,1725114056643,172.16.0.157,TRUE,,,,
172.16.0.174,1725113696668,1725114056609,172.16.0.174,TRUE,,,,
172.16.0.175,1725113696728,1725114056607,172.16.0.175,TRUE,,,,
172.16.0.176,1725113696717,1725114056582,172.16.0.176,TRUE,,,,
172.16.0.177,1725113696729,1725114056608,172.16.0.177,TRUE,,,,
172.16.0.200,1725113700341,1725114050566,172.16.0.200,TRUE,,,,
172.16.0.210,1725113700272,1725114050548,172.16.0.210,TRUE,,,,
172.16.0.253,1725113696755,1725114056644,172.16.0.253,TRUE,,,,
172.16.0.255,0,0,172.16.0.255,TRUE,,,,
172.16.1.140,1725113696730,1725114056609,172.16.1.140,TRUE,,,,
172.16.1.141,1725113696731,1725114056644,172.16.1.141,TRUE,,,,
172.16.1.142,1725113696730,1725114056619,172.16.1.142,TRUE,,,,
172.16.1.143,1725113696730,1725114056626,172.16.1.143,TRUE,,,,
172.16.1.144,1725113696730,1725114056608,172.16.1.144,TRUE,,,,
172.16.1.145,1725113696731,1725114056644,172.16.1.145,TRUE,,,,
172.16.1.146,1725113696731,1725114056609,172.16.1.146,TRUE,,,,
172.16.1.147,1725113696731,1725114056582,172.16.1.147,TRUE,,,,
172.16.1.148,1725113696730,1725114056609,172.16.1.148,TRUE,,,,
172.16.1.149,1725113696666,1725114056609,172.16.1.149,TRUE,,,,
172.16.1.150,1725113696730,1725114056581,172.16.1.150,TRUE,,,,
172.16.1.151,1725113696730,1725114056607,172.16.1.151,TRUE,,,,
172.16.1.152,1725113696730,1725114056582,172.16.1.152,TRUE,,,,
172.16.1.153,1725113696731,1725114056609,172.16.1.153,TRUE,,,,
172.16.1.154,1725113696731,1725114056607,172.16.1.154,TRUE,,,,
172.16.1.155,1725113696731,1725114056644,172.16.1.155,TRUE,,,,
172.16.1.156,1725113696731,1725114056609,172.16.1.156,TRUE,,,,
172.16.1.157,1725113696730,1725114056643,172.16.1.157,TRUE,,,,
172.16.1.174,1725113696730,1725114056609,172.16.1.174,TRUE,,,,
172.16.1.175,1725113696730,1725114056607,172.16.1.175,TRUE,,,,
172.16.1.176,1725113696731,1725114056582,172.16.1.176,TRUE,,,,
